idescuela,idplantel,ccts,escuela,idcodigo,cv_cct,
1,01INM_1153,01KPR0054J,CURSO COMUNITARIO,20445,01KPR0054J,
2,02INM_1875,02KJN0241M/02KPR0039Q,PREESCOLAR COMUNITARIO,,02KJN0241M,
3,02INM_1756,02DNM0004Y/02DZC0015B,PREESCOLAR PARA NIÑOS MIGRANTES,,,
4,02INM_1746,02DPB0011Z,ÑUU NDAVI,,,
5,02INM_1957,02DCC0019N,MARGARITA PAZ PAREDES,,02DCC0019N,
6,02INM_1924,02DJN0505V,JAIME NUNO ROCA,,02DJN0505V,
7,02INM_1804,02ETV0031M,TELESECUNDARIA NUM. 31,,02ETV0031M,
8,02INM_1805,02DCC0004L,BENITA ARBALLO,,02DCC0004L,
9,02INM_1936,02KJN0248F/02KPR0158D,PREESCOLAR COMUNITARIO,,02KJN0248F,
10,02INM_1864,02DCC0054T,JUAN DE LA BARRERA,,02DCC0054T,
11,02INM_1866,02DCC0021B,VE E NAVALI,,02DCC0021B,
12,02INM_1868,02DJN0277R,DANTE ALIGHIERI,,02DJN0277R,
13,02INM_1920,02DCC0036D,GUILLERMO GONZALEZ CAMARENA,,,
14,02INM_1859,02DCC0037C,ITZCOATL,,02DCC0037C,
15,02INM_1861,02DTV0007N,TELESECUNDARIA NUM. 103,,02DTV0007N,
16,02INM_1930,02DZC0017Z/02DNM0001A/02DZS0001Z,PRIMARIA PARA NIÑOS MIGRANTES,,02DZC0017Z,
17,02INM_1931,02DPB0029Z,BENITO JUAREZ,,02DPB0029Z,
18,02INM_1624,02ETV0014W,TELESECUNDARIA NUM. 45,,02ETV0014W,
19,02INM_1959,02DZS0002Z/02DZC0036O/02DNM0002Z,"SECUNDARIA       PARA       NINOS       MIGRANTES
CAMPAMENTO EL CONSUELO",,,
20,02INM_1975,02DPB0042T,LUIS RODRIGUEZ AVIÑA,,,
21,02INM_1986,02DNM0003Z/02DZC0040A,PREESCOLAR PARA NINOS MIGRANTES,,02DNM0003Z,
22,02INM_1802,02EJN0099D,JOHN DEWEY,,,
23,02INM_1854,02EJN0252H,JARDIN DE NIÑOS DE LA ESPERANZA,,02EJN0252H,
24,02INM_1878,02DCC0003M,MARIA EMES,,,
25,02INM_1995,02ETV0075J,TELESECUNDARIA NUM. 16,,02ETV0075J,
26,02INM_1996,02DCC0001O,SHPAA PUMAN,,02DCC0001O,
27,02INM_1684,02DCC0061C,CRI-CRI EL GRILLITO CANTOR,,,
28,02INM_1817,02EJN0205X,JOSEFA ORTIZ DE DOMINGUEZ,,,
29,02INM_1998,02DPB0072N,BAJA CALIFORNIA,,,
30,02INM_1732,02DCC0014S,GABRIELA MISTRAL,,02DCC0014S,
31,02INM_1739,02EJN0101B,FEDERICO FROEBEL,,02EJN0101B,
32,02INM_1740,02DPB0032M,TRABAJADORES DEL CAMPO,,02DPB0032M,
33,02INM_1743,02DJN0139P,MANUEL ACUÑA,,02DJN0139P,
34,02INM_1744,02EES0068U,ESCUELA SECUNDARIA GENERAL NUM. 212,,02EES0068U,
35,02INM_1748,02DJN0306W,PEDRO MORENO,,02DJN0306W,
36,02INM_3431,02KJN0282M,PREESCOLAR COMUNITARIO,,02KJN0282M,
37,02INM_3432,02KPR0183C,PRIMARIA COMUNITARIA,,02KPR0183C,
38,03INM_3720,03KPR0222N/03KJN0211R,CURSO COMUNITARIO DE EDUCACION PRIMARIA,,03KPR0222N,
39,03INM_4166,03DNM0007U,PREESCOLAR PARA NIÑOS MIGRANTES 7,,,
40,03INM_4153,03KPR0027K,CURSO COMUNITARIO DE EDUCACION PRIMARIA,,03KPR0027K,
41,03INM_4154,03KJN0087I,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",,,
42,03INM_4351,03KJN0218K,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",,,
43,03INM_3834,03DTV0048M,TELESECUNDARIA 48,,03DTV0048M,
44,03INM_3871,03DZC0023J,"ESCUELA   PRIMARIA   PARA   NIÑOS   MIGRANTES
NUM. 23",,,
45,03INM_3781,03DZC0022K,"ESCUELA   PRIMARIA   PARA   NI±OS   MIGRANTES
NUM. 22",,,
46,03INM_3782,03DNM0004X,PREESCOLAR PARA NIÑOS MIGRANTES 4,,03DNM0004X,
47,03INM_3839,03DTV0059S,TELESECUNDARIA 59,,,
48,03INM_3876,03KPR0254F,CURSO COMUNITARIO DE EDUCACION PRIMARIA,,03KPR0254F,
49,04INM_5560,04DPB0085P,ANDRES QUINTANA ROO,115669,04DPB0085P,
50,04INM_5578,04DJN0252G,GERONIMO BAQUEIRO FOSTER,116101,04DJN0252G,
51,04INM_5586,04KTV0093H,SECUNDARIA COMUNITARIA,140782,04KTV0093H,
52,04INM_5587,04DPB0034I,MELCHOR OCAMPO,140782,04DPB0034I,
53,04INM_5588,04DCC0092U,ANTONIO AY CHE,140782,04DCC0092U,
54,04INM_5589,04DTV0130L,TELESECUNDARIA NUM 130,115687,04DTV0130L,
55,04INM_5590,04DCC0108E,HERNAN CORTEZ,115687,04DCC0108E,
56,04INM_5566,04DTV0041S,TELESECUNDARIA NUM 41,115653,04DTV0041S,
57,04INM_5569,04DCC0072G,ARTICULO TERCERO,115653,04DPB0069Y,
58,04INM_5576,04DPB0016T,BATALLA DE PUEBLA,116092,04DPB0016T,
59,04INM_5629,04DTV0119P,TELESECUNDARIA NUM 119,115654,04DTV0119P,
60,04INM_5609,04DCC0116N,NACIONES UNIDAS,116091,04DCC0116N,
61,04INM_5618,23DPR0542B,14 DE SEPTIEMBRE,115675,,
62,04INM_5626,04DCC0076C,GUADALUPE VICTORIA,115658,04DCC0076C,
63,04INM_5713,04DCC0129R,NICOLAS BRAVO,115659,04DCC0129R,
64,04INM_5619,04DTV0022D,TELESECUNDARIA NUM 22,115684,04DTV0022D,
65,04INM_5622,04DTV0118Q,TELESECUNDARIA NUM 118,116090,,
66,04INM_5625,04DCC0137Z,U K'AAY MEJEN PAALAL,116090,,
67,04INM_5636,04DTV0132J,TELESECUNDARIA NUM 132,115649,04DTV0132J,
68,04INM_5642,04DCC0109D,LOL-BE,116096,04DCC0109D,
69,04INM_5643,04DTV0133I,TELESECUNDARIA NUM 133,115643,04DTV0133I,
70,04INM_5644,04DCC0130G,ZAM-NAH,115643,04DCC0130G,
71,04INM_5651,04DCC0097P,LA PRIMAVERA,116097,04DCC0097P,
72,04INM_5661,04DCC0110T,BENITO JUAREZ,115678,04DCC0110T,
73,04INM_5663,04DCC0111S,MIGUEL HIDALGO Y COSTILLA,115685,04DCC0111S,
74,04INM_5680,04DTV0148K,TELESECUNDARIA NUM 148,115644,04DTV0148K,
75,04INM_5682,04DCC0099N,SOR JUANA INES DE LA CRUZ,115644,04DCC0099N,
76,04INM_5683,04DPB0063D,16 DE SEPTIEMBRE,115644,04DPB0063D,
77,04INM_5687,04DPB0001R,AGUSTIN MELGAR,115682,04DPB0001R,
78,04INM_5562,04DTV0149J,TELESECUNDARIA NUM 149,115645,04DTV0149J,
81,04INM_5704,04DTV0138D,TELESECUNDARIA NUM 138,115646,04DTV0138D,
82,04INM_5709,04DCC0070I,VENUSTIANO CARRANZA,140538,04DCC0070I,
83,04INM_4404,04DCC0002L,VICENTE GUERRERO,140829,04DCC0002L,
84,04INM_4427,04DCC0078A,K'AN LOOL,140813,04DCC0078A,
85,04INM_4429,04DJN0023N,MARIA DEL CARMEN RAMIREZ GUTIERREZ,140813,04DJN0023N,
86,04INM_4432,04DPR0326Y,BENITO JUAREZ,140813,04DPR0326Y,
87,04INM_4434,04DPB0087N,JUSTO SIERRA MENDEZ,140813,04DPB0087N,
88,04INM_4436,04DTV0024B,TELESECUNDARIA NUM 24,140815,04DTV0024B,
89,04INM_4409,04DCC0057O,JUSTO SIERRA MENDEZ,140826,04DCC0057O,
90,04INM_4441,04DCC0007G,JACINTO CANEK,140825,04DCC0007G,
91,04INM_4444,04DCC0036B,AKAN-BALAM,140818,04DCC0036B,
92,04INM_4446,04DTV0091Z,TELESECUNDARIA NUM 91,140817,04DTV0091Z,
93,04INM_4447,04DTV0046N,TELESECUNDARIA NUM 46,140824,04DTV0046N,
94,04INM_4448,04DCC0059M,LAZARO CARDENAS,140824,04DCC0059M,
95,04INM_4451,04DST0037S,ESCUELA SECUNDARIA TECNICA NUM 37,140814,04DST0037S,
96,04INM_4452,04DCC0010U,BENITO JUAREZ,140814,04DCC0010U,
97,04INM_4454,04DPR0364A,IGNACIO M ALTAMIRANO,140814,04DPR0364A,
98,04INM_4456,04DTV0121D,TELESECUNDARIA NUM 121,140810,04DTV0121D,
99,04INM_4457,04DCC0055Q,JOSE MARIA MORELOS Y PAVON,140810,04DCC0055Q,
100,04INM_4616,04DCC0005I/04DCC0140N,RICARDO FLORES MAGON,115567,04DCC0005I,
101,04INM_4670,04DCC0114P,SOLIDARIDAD,,04DCC0114P,
102,04INM_4701,04DTV0113V,TELESECUNDARIA NUM 113,115570,04DTV0113V,
103,04INM_4712,04DJN0269G,LAURELES DE PAZ,115505,04DJN0269G,
104,04INM_4651,04DPR0368X,BENITO JUAREZ,115560,04DPR0368X,
105,04INM_4653,04DTV0027Z,TELESECUNDARIA NUM 27,115560,04DTV0027Z,
106,04INM_4654,04DCC0018M,CHAC-MULTUN,115560,04DCC0018M,
107,04INM_4655,04DPR0367Y,FRANCISCO SARABIA,115938,04DPR0367Y,
108,04INM_4656,04DTV0123B,TELESECUNDARIA NUM 123,115938,04DTV0123B,
109,04INM_4657,04DCC0038Z,OXKINTOK,115938,04DCC0038Z,
110,04INM_4713,04KPR0244Y,CURSO COMUNITARIO DE EDUCACION PRIMARIA,140527,04KPR0244Y,
111,04INM_4714,04KJN0229P,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",140527,,
112,04INM_4686,04DTV0092Z,TELESECUNDARIA NUM 92,115554,04DTV0092Z,
113,04INM_4687,04DCC0028T,MIGUEL HIDALGO Y COSTILLA,115554,04DCC0028T,
114,04INM_4692,04DTV0083R,TELESECUNDARIA NUM 83,115565,04DTV0083R,
115,04INM_4674,04DTV0124A,TELESECUNDARIA NUM 124,115565,04DTV0124A,
116,04INM_4675,04DJN0024M,MADRES CAMPECHANAS,115565,04DJN0024M,
117,04INM_5969,04KJN0405D,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",140319,,
118,04INM_5970,04KTV0069H,SECUNDARIA COMUNITARIA,140319,04KTV0069H,
119,04INM_5971,04DPR0700M,FRANCISCO VILLA,140319,04DPR0700M,
120,04INM_5972,04KJN0329O,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",119048,,
121,04INM_5973,04KTV0048V,SECUNDARIA COMUNITARIA,119048,04KTV0011H,
122,04INM_5974,04DPR0736A,FRANCISCO I MADERO,119048,04DPR0736A,
123,04INM_5991,04KPR0386W/04KJN0540I,CURSO COMUNITARIO DE EDUCACION PRIMARIA,140309,04KPR0386W,
124,04INM_5992,04KPR0387V/04KJN0541H/04KTV0054F,CURSO COMUNITARIO DE EDUCACION PRIMARIA,119050,04KPR0387V,
125,04INM_5898,04KJN0454M/04KPR0638J,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",140310,,
126,04INM_5899,04KTV0068I,SECUNDARIA COMUNITARIA,140310,04KTV0068I,
127,04INM_5765,04DPR0068Z,BENITO JUAREZ,140301,04DPR0068Z,
128,04INM_5766,04KJN0516I,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",119039,,
129,04INM_5767,04KPR0627D,CURSO COMUNITARIO DE EDUCACION PRIMARIA,119039,04KPR0627D,
130,04INM_5993,04KJN0542G,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",,,
131,04INM_5994,04DPR0755P,SOR JUANA INES DE LA CRUZ,,04DPR0755P,
132,04INM_5981,04KPR0631Q/04KJN0519F,CURSO COMUNITARIO DE EDUCACION PRIMARIA,119041,04KPR0631Q,
133,04INM_5846,04KJN0550P/04KTV0057C,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",140302,,
134,04INM_5847,04DPR0749E,ROMAN PINA CHAN,140302,04DPR0749E,
135,04INM_5909,04DJN0281B,RAMON BERZUNZA HERRERA,119042,04DJN0281B,
136,04INM_5905,04KPR0234R/04KJN0535X,CURSO COMUNITARIO DE EDUCACION PRIMARIA,74092,04KPR0234R,
137,04INM_5988,04KJN0539T,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",119017,,
138,04INM_5989,04DPR0451W,FERNANDO MONTES DE OCA,119017,04DPR0451W,
139,04INM_5808,04DTV0093Y,TELESECUNDARIA NUM 93,74064,04DTV0093Y,
140,04INM_5809,04DJN0315B,PROF JUAN B CALDERA,74064,04DJN0315B,
141,04INM_5995,04KJN0543F,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",119018,,
142,04INM_5996,04KTV0040C,SECUNDARIA COMUNITARIA,119018,04KTV0040C,
143,04INM_5997,04DPR0756O,19 DE SEPTIEMBRE,119018,04DPR0756O,
144,04INM_6005,04KJN0572A/04KPR0656Z,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",119043,,
145,04INM_5804,04KPR0646S,CURSO COMUNITARIO DE EDUCACION PRIMARIA,74094,04KPR0646S,
146,04INM_5966,04DPR0754Q,ENRIQUE FLORES MAGON,119054,04DPR0754Q,
147,04INM_5967,04KJN0552N,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",119054,,
148,04INM_5968,04KTV0088W,SECUNDARIA COMUNITARIA,119054,04KTV0088W,
149,04INM_5944,04KJN0478W,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",140303,,
150,04INM_5945,04DPR0753R,MIGUEL MARIANO GONZALEZ LASTIRI,140303,04DPR0753R,
151,04INM_5946,04KTV0063N,SECUNDARIA COMUNITARIA,140303,04KTV0063N,
152,04INM_5979,04KTV0032U,SECUNDARIA COMUNITARIA,74129,04KTV0032U,
153,04INM_5980,04KPR0559X/04KJN0481J,CURSO COMUNITARIO DE EDUCACION PRIMARIA,74129,04KPR0559X,
154,04INM_5841,04DTV0150Z,TELESECUNDARIA NUM 150,119049,04DTV0150Z,
155,04INM_5998,04KJN0567P/04KPR0649P,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",119021,,
156,04INM_5999,04KTV0066K,SECUNDARIA COMUNITARIA,119021,04KTV0066K,
157,04INM_5776,04KPR0433Q,CURSO COMUNITARIO DE EDUCACION PRIMARIA,,04KPR0433Q,
158,04INM_6000,04DPR0465Z,JUSTO SIERRA MENDEZ,119046,04DPR0465Z,
159,04INM_6001,04KJN0544E,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",119046,,
160,04INM_6002,04KTV0070X,SECUNDARIA COMUNITARIA,119046,04KTV0070X,
161,04INM_5881,04DJN0293G,PROFA NATIVIDAD VIDAL VERA,119027,04DJN0293G,
162,04INM_5882,04DTV0140S,TELESECUNDARIA NUM 140,119027,04DTV0140S,
163,04INM_5913,04KPR0636L,CURSO COMUNITARIO DE EDUCACION PRIMARIA,,04KPR0636L,
164,04INM_5914,04KTV0078P,SECUNDARIA COMUNITARIA,140318,04KTV0078P,
165,04INM_5915,04DPR0119Q,JOSE LOPEZ PORTILLO,140318,04DPR0119Q,
166,04INM_5917,04DTV0157S,TELESECUNDARIA NUM 157,119035,04DTV0157S,
167,04INM_5884,04KJN0537V,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",140818,,
168,04INM_5885,04KTV0080D,SECUNDARIA COMUNITARIA,140818,04KTV0080D,
169,04INM_5933,04KJN0528N/04KPR0064N,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",74040,,
170,04INM_5990,04KTV0061P/04KJN0558H/04KPR0645T,SECUNDARIA COMUNITARIA,119036,04KTV0061P,
171,04INM_4918,04KJN0563T,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",,,
172,04INM_4919,04KJN0500H,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",,,
173,04INM_4920,04KPR0195F,CURSO COMUNITARIO DE EDUCACION PRIMARIA,,04KPR0195F,
174,04INM_4837,04DST0042D,ESCUELA SECUNDARIA TECNICA NUM 42,73931,04DST0042D,
175,04INM_5079,04DJN0041C,MARIA DEL ROSARIO RIVAS HERNANDEZ,,04DJN0041C,
176,04INM_5081,04DJN0232T,JOAQUIN CLAUSELL TRACONIS,,04DJN0232T,
177,04INM_5039,04DCC0069T,XTACUMBILXUNAN,115530,04DCC0069T,
178,04INM_5082,04DTV0012X,TELESECUNDARIA NUM 12,115521,04DTV0012X,
179,04INM_5084,04DPR0358Q,IGNACIO ZARAGOZA,115521,04DPR0358Q,
180,04INM_5109,04DCC0043L,ZACI,115512,04DCC0043L,
181,04INM_5110,04DTV0141R,TELESECUNDARIA NUM 141,115512,04DTV0141R,
182,04INM_5111,04DPR0405K,VENUSTIANO CARRANZA,115512,04DPR0648G,
183,04INM_4957,04DCC0019L,KUKULKAN,115505,04DCC0019L,
184,04INM_5057,04DPR0725V,JOSE LOPEZ PORTILLO,115903,04DPR0732E,
185,04INM_5059,04DTV0135G,TELESECUNDARIA NUM 135,115903,04DTV0135G,
186,04INM_5060,04DTV0088M,TELESECUNDARIA NUM 88,115902,04DTV0088M,
187,04INM_5062,04DJN0272U,PROFA SARA GARCIA SABIDO,115902,04DJN0272U,
188,04INM_5097,04DTV0054W,TELESECUNDARIA NUM 54,115522,04DTV0054W,
189,04INM_5099,04DPR0071N,MIGUEL HIDALGO Y COSTILLA,115522,04DPR0241R,
190,04INM_5115,04KTV0035R/04KJN0261Y,SECUNDARIA COMUNITARIA,115495,04KTV0035R,
191,04INM_5116,04DPR0623Y,EMILIANO ZAPATA,115495,04DPR0623Y,
192,04INM_4980,04DTV0153W,TELESECUNDARIA NUM 153,115506,04DTV0153W,
193,04INM_4982,04DJN0228G,AMELIA CASAS ALVAREZ,115506,04DJN0228G,
194,04INM_5091,04DJN0270W,ROSARIO RIVAS HERNANDEZ,115537,04DJN0270W,
195,04INM_5117,04KPR0661K,CURSO COMUNITARIO DE EDUCACION PRIMARIA,,04KPR0661K,
196,04INM_5492,04KPR0022O,CURSO COMUNITARIO DE EDUCACION PRIMARIA,115430,04KPR0022O,
197,04INM_5506,04DJN0253F,SALVADOR NOVO,116348,04DJN0253F,
198,04INM_5442,04DPR0394V,FELIPE CARRILLO PUERTO,119043,04DPR0394V,
199,04INM_5488,04DTV0100R,TELESECUNDARIA NUM 100,115446,04DTV0100R,
200,04INM_5535,04DPR0752S,FRANCISCO CASTILLO MALDONADO,115465,04DPR0752S,
201,04INM_5536,04KJN0545D,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",115465,,
202,04INM_5534,04KJN0428O/04KPR0573Q,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",115434,,
203,04INM_5491,04KPR0519W,CURSO COMUNITARIO DE EDUCACION PRIMARIA,115451,04KPR0519W,
204,04INM_5188,04DJN0328F,DAVID ALFARO SIQUEIROS,140789,04DJN0328F,
205,04INM_5145,04DPR0090B,SANTIAGO ORTEGA,140788,04DPR0090B,
206,04INM_5146,04DTV0040T,TELESECUNDARIA NUM 40,140788,04DTV0040T,
207,04INM_5143,04DCC0012S,5 DE FEBRERO,140782,04DCC0012S,
208,04INM_5149,04DTV0127Y,TELESECUNDARIA NUM 127,140792,04DTV0127Y,
209,04INM_5150,04DCC0037A,NINOS HEROES,140792,04DCC0037A,
210,04INM_5184,04DCC0115O,ZAC-NICTE,140783,04DCC0115O,
211,04INM_5185,04DCC0124W,CHILAM-BALAM,140795,04DCC0124W,
212,04INM_5153,04DCC0011T,FRANCISCO VILLA,140785,04DCC0011T,
213,04INM_5154,04DTV0116S,TELESECUNDARIA NUM 116,140785,04DTV0116S,
214,04INM_5160,04DTV0090A,TELESECUNDARIA NUM 90,140786,04DTV0090A,
215,04INM_5162,04DCC0047H,JOSEFA ORTIZ DE DOMINGUEZ,,04DCC0047H,
216,04INM_5164,04DJN0260P,ALICIA ORTIZ ALCOCER,,04DJN0260P,
217,04INM_5170,04DCC0077B,EDZNA,,04DCC0077B,
218,04INM_5171,04DJN0042B,EL PIPILA,,04DJN0042B,
219,04INM_5174,04DCC0029S,FRANCISCO I MADERO,140790,04DCC0029S,
220,04INM_5179,04DCC0001M,BENITO JUAREZ,140781,04DCC0001M,
221,04INM_5199,04DTV0120E,TELESECUNDARIA NUM 120,115607,04DTV0120E,
222,04INM_5201,04DCC0013R,TUTUL-XIU,115607,04DCC0013R,
223,04INM_5203,04DCC0016O,CECILIO CHI,115618,04DCC0016O,
224,04INM_5204,04DJN0234R,MANUEL CRESENCIO GARCIA REJON Y ALCALA,115618,04DJN0234R,
225,04INM_5207,04DJN0014F,ABRAHAM LINCOLN,115618,04DJN0014F,
226,04INM_5245,04DTV0104N,TELESECUNDARIA NUM 104,115613,04DTV0104N,
227,04INM_5214,04DTV0105M,TELESECUNDARIA NUM 105,115610,04DTV0105M,
228,04INM_5217,04DCC0049F,NACHI-COCOM,115610,04DCC0049F,
229,04INM_5220,04DPR0299R,EMILIANO ZAPATA,115616,04DPR0299R,
230,04INM_5221,04DCC0053S,JACINTO CANEK,115616,04DCC0053S,
231,04INM_5223,04DTV0077G,TELESECUNDARIA NUM 77,115616,04DTV0077G,
232,04INM_5225,04DCC0118L,MELCHOR OCAMPO,115621,04DCC0118L,
233,04INM_5230,04DCC0085K,MOCH-COHUO,115612,04DCC0085K,
234,04INM_5284,04DCC0096Q,AH-KIM-PECH,115603,04DCC0096Q,
235,04INM_5247,04DCC0104I,24 DE OCTUBRE,115620,04DCC0104I,
236,04INM_5249,04DCC0022Z,KABAH,115608,04DCC0022Z,
237,04INM_5252,04DTV0129W,TELESECUNDARIA NUM 129,115608,04DTV0129W,
238,04INM_5253,04DCC0126U,ZAK-BEH,116116,04DCC0126U,
239,04INM_5259,04DPR0288L,EMILIANO ZAPATA,116115,04DPR0288L,
240,04INM_5263,04DTV0117R,TELESECUNDARIA NUM 117,115622,04DTV0117R,
241,04INM_5266,04DCC0068U,NICTE-HA,115604,04DCC0068U,
242,04INM_5267,04DTV0082S,TELESECUNDARIA NUM 82,115604,04DTV0082S,
243,04INM_5271,04DTV0067Z,TELESECUNDARIA NUM 67,,04DTV0067Z,
244,04INM_5273,04DCC0035C,ANTONIO AY,,04DCC0035C,
245,04INM_5234,04DPR0422A,HECTOR PEREZ MARTINEZ,116114,04DPR0422A,
246,04INM_5236,04DJN0217A,VICENTE GUERRERO,116114,04DJN0217A,
247,04INM_5281,04DPB0011Y,20 DE NOVIEMBRE,115597,04DPB0011Y,
248,04INM_5274,04DPB0004O,IGNACIO ZARAGOZA,115619,04DPB0004O,
249,04INM_5294,04DCC0080P,CUAUHTEMOC,116117,04DCC0080P,
250,04INM_5295,04DTV0068Z,TELESECUNDARIA NUM 68,116117,04DTV0068Z,
251,04INM_5285,04DTV0106L,TELESECUNDARIA NUM 106,115624,04DTV0106L,
252,04INM_5287,04DCC0008F,DZIBICHALTUN,115624,04DCC0008F,
253,04INM_5289,04DTV0128X,TELESECUNDARIA NUM 128,115606,04DTV0128X,
254,04INM_5291,04DPR0296U,EMILIANO ZAPATA,115606,04DPR0296U,
255,04INM_5297,04DCC0017N,LAB-NAH,116120,04DCC0017N,
256,04INM_5303,04DTV0155U,TELESECUNDARIA NUM 155,116121,04DTV0155U,
257,04INM_5305,04DCC0034D,MUCH-HALTUN,116121,04DCC0034D,
258,04INM_5307,04DPB0045O,JOSE ISABEL PUC CANUL,115598,04DPB0045O,
259,04INM_5371,04KJN0561V/04KPR0215C,"CURSO       COMUNITARIO       DE        EDUCACION
PREESCOLAR",,,
260,04INM_5372,04KTV0091J,SECUNDARIA COMUNITARIA,,04KTV0091J,
261,04INM_5374,04KPR0516Z,CURSO COMUNITARIO DE EDUCACION PRIMARIA,,04KPR0215C,
262,04INM_5373,04KPR0349S,CURSO COMUNITARIO DE EDUCACION PRIMARIA,73908,04KPR0139N,
263,04INM_5384,04DCC0009E,BELISARIO DOMINGUEZ,140759,04DCC0009E,
264,04INM_5375,04DJN0192I,PEDRO SAINZ DE BARANDA,140747,04DJN0192I,
265,04INM_5380,04DJN0261O,JACINTO CANEK,140747,04DJN0261O,
266,04INM_5390,04DPR0469V,MERCEDES VASTO LARA,140757,04DPR0469V,
267,04INM_5391,04DTV0044P,TELESECUNDARIA NUM 44,140757,04DTV0044P,
268,06INM_8946,06EJN0032S,ALBERTO ISAAC AHUMADA,5777,,
269,06INM_8950,06DPR0011X,JOSEFA ORTIZ DE DOMINGUEZ,5777,,
270,06INM_9218,06DZC0004S,ALBERGUE CA¿RO,6027,06DZC0004S,
271,06INM_9623,06DPR0268W,ESCUELA PRIMARIA,,06DPR0268W,
272,06INM_9595,06KTV0016A,CONAFE SECUNDARIA COMUNITARIA,,06KTV0016A,
273,06INM_9612,06KPR0183Z,CONAFE PRIMARIA,,06KPR0183Z,
274,06INM_9613,06KJN0242H,CONAFE PREESCOLAR,,06KJN0242H,
275,06INM_9619,06KJN0089D,CONAFE PREESCOLAR,,06KJN0089D,
276,08INM_26931,08KSC0021G/08KCC0136G,ESCUELA SECUNDARIA COMUNITARIA INDIGENA,,08KSC0021G,
277,08INM_26932,08DPB0136B,FRANCISCO I. MADERO,20445,08DPB0136B,
278,08INM_26852,08DPB0502H,JAIME TORRES BODET,20445,,
279,08INM_26854,08DCC0253M,FRANCISCO INDALECIO MADERO GONZALEZ,20445,,
280,08INM_26858,08DPB0651P,PRIMARIA INDIGENA,20445,08DPB0651P,
281,08INM_26959,08DPB0701G,NIÑO TARAHUMARA,20445,08DPB0701G,
282,08INM_26963,08DPB0555M,CUAUHTEMOC,20445,08DPB0555M,
283,08INM_26964,08DTV0184L,TELESECUNDARIA FEDERALIZADA,20445,08DTV0184L,
284,08INM_26965,08DCC0140J,HERMILO HOLGUIN CARO,20445,08DCC0140J,
285,08INM_26859,08KPR0821D,PRIMARIA COMUNITARIA,20445,08KPR0821D,
286,08INM_26863,08DCC0237V,EDUCACION PREESCOLAR INDIGENA,20445,08DCC0237V,
287,08INM_26864,08DTV0034E,DIEGO RIVERA,20445,08DTV0034E,
288,08INM_26866,08DJN2299K,PAQUIME,20445,08DJN2299K,
289,08INM_26867,08KSC0040V,SECUNDARIA INDIGENA COMUNITARIA,20445,,
290,08INM_26868,08DPB0575Z,CUAUHTEMOC,20445,08DPB0575Z,
291,08INM_26869,08DPB0262Z,MIGUEL HIDALGO,20445,08DPB0262Z,
292,08INM_26870,08KPB0242V,PRIMARIA INDIGENA COMUNITARIA,20445,08KPB0242V,
293,08INM_26871,08DPB0164Y,CUAUHTEMOC,20445,08DPB0164Y,
294,08INM_26873,08DPB0013S,REVOLUCION,20445,08DPB0013S,
295,08INM_26880,08DJN2308B,LUZ MARIA SERRADEL ROMERO,20445,08DJN2308B,
296,08INM_26881,08DTV0093U,TELESECUNDARIA FEDERAL,20445,08DTV0093U,
297,08INM_26886,08DTV0100N,TELESECUNDARIA FEDERAL,20445,08DTV0100N,
298,08INM_26915,08DCC0193O,SIMON BOLIVAR,20445,08DCC0193O,
299,08INM_26917,08DTV0106H,TELESECUNDARIA FEDERAL,20445,08DTV0106H,
300,08INM_26855,08KJN1244K/08KPR0496Y,JARDIN DE NIÑOS,,08KJN1244K,
301,08INM_26971,08KPB0221I/08KCC0186O,PRIMARIA INDIGENA COMUNITARIA,,,
302,08INM_26948,08DPB0496N,ADOLFO LOPEZ MATEOS,20445,08DPB0496N,
303,08INM_26949,08DCC0216I,JOSE VASCONCELOS,20445,08DCC0216I,
304,08INM_26935,08KJN1425U,PREESCOLAR COMUNITARIO,20445,08KJN1425U,
